platform,title,url,published_by,developed_by,released,genre,perspective,visual,art,gameplay,interface,user_reviews,user_review_count,average_user_review,critic_reviews,critic_review_count,average_critic_review
platform,title,url,published_by,developed_by,released,genre,perspective,visual,art,gameplay,interface,user_reviews,user_review_count,average_user_review,critic_reviews,critic_review_count,average_critic_review
SNES,Kingdom Hearts II,https://www.mobygames.com/game/21912/kingdom-hearts-ii/,"Square Enix Co., Ltd. Square Enix, Inc. Square Enix Ltd","Square Enix Co., Ltd.","December 22, 2005 on PlayStation 2",Role-playing (RPG),Behind view,,,Action RPGQuick Time Events (QTEs),Direct control,"[3.9, 4.4, 5.0, 5.0, 4.4, 5.0, 3.6, 4.4]",8,4.4625,"[100, 100, 100, 100, 100, 96, 96, 96, 95, 95, 95, 95, 94, 92, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 88, 88, 87, 84, 82, 82, 80, 80, 80, 80, 80, 80, 76, 75, 75, 75, 70, 60, 60, 59, 40]",47,85.42553191489361
SNES,Wolfenstein II: The New Colossus,https://www.mobygames.com/game/97559/wolfenstein-ii-the-new-colossus/,Bethesda Softworks LLC,ZeniMax Sweden AB,"October 26, 2017 on Windows",Action,1st-person,,,Shooter,,[3.1],1,3.1,"[100, 95, 95, 95, 93, 91, 91, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 89, 88, 87, 86, 86, 86, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 84, 82, 82, 81, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 75, 71, 60]",62,85.04838709677419
SNES,The Longest Journey,https://www.mobygames.com/game/1439/the-longest-journey/,"IQ Media Nordic AB Ubi Soft Entertainment Software Egmont Interactive GmbH R&P Electronic Media Empire Interactive Entertainment Funcom Oslo A/S FX Interactive, S.L. Empire Interactive Europe Ltd. Micro Application, S.A. K.E. Media 1C Company Snowball.ru 1C-SoftClub Funcom N.V.",Funcom Oslo A/S,"December 3, 1999 on Windows",Adventure,3rd-person (Other),,,Graphic adventurePuzzle elements,Point and select,"[3.8, 4.0, 4.7, 4.2, 4.0, 4.8, 4.3, 4.3, 4.8, 4.2, 4.2, 5.0, 2.5, 4.8, 3.3, 2.8, 2.2]",17,3.994117647058824,"[100, 100, 100, 100, 100, 100, 100, 100, 97, 94, 94, 94, 93, 93, 93, 92, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 87, 87, 85, 83, 83, 82, 81, 80, 80, 80, 80, 79, 79, 75, 75, 74, 72, 72, 70, 60]",53,87.66037735849056
SNES,Baldur's Gate III,https://www.mobygames.com/game/150689/baldurs-gate-iii/,Larian Studios NV,Larian Studios NV,"October 6, 2020 on Windows",Role-playing (RPG),Diagonal-down,2D scrolling,,,Multiple units/characters controlPoint and select,[1.0],1,1.0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99, 99, 99, 99, 98, 98, 98, 98, 97, 97, 97, 97, 97, 97, 96, 96, 96, 96, 96, 96, 96, 96, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 94, 94, 93, 92, 92, 92, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 85, 85, 85, 80, 80, 80, 80, 80, 80, 80, 78, 70, 70, 70, 60]",200,95.36
SNES,NieR: Automata,https://www.mobygames.com/game/84102/nier-automata/,"Square Enix Co., Ltd.",Platinum Games Inc.,"February 23, 2017 on PlayStation 4",Role-playing (RPG),Behind view,,Anime / Manga,Action RPGHack and slashSandbox / open world,Direct control,[],0,0,"[100, 100, 100, 96, 95, 95, 95, 95, 95, 92, 92, 92, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 89, 89, 87, 87, 85, 84, 83, 80, 80, 80, 79, 79, 75, 70]",41,88.90243902439025
SNES,Atari 50: The Anniversary Celebration,https://www.mobygames.com/game/195171/atari-50-the-anniversary-celebration/,"Atari Interactive, Inc.",Digital Eclipse Entertainment Partners Co.,November 2022 on Atari VCS,ActionCompilationEducational,,,,Arcade,Direct controlPoint and select,[],0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 95, 95, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 88, 88, 87, 86, 85, 85, 84, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 78, 75, 75]",53,87.37735849056604
SNES,SteamWorld Dig 2,https://www.mobygames.com/game/96204/steamworld-dig-2/,"Image & Form International AB MP Digital, LLC Flyhigh Works Co., Ltd. Rising Star Games Ltd.",Image & Form International AB,"September 21, 2017 on Nintendo Switch",Action,Side view,2D scrolling,,MetroidvaniaPuzzle elements,Direct control,[5.0],1,5.0,"[93, 92, 91, 90, 90, 90, 90, 90, 90, 88, 88, 88, 88, 87, 87, 87, 87, 87, 87, 85, 84, 84, 80, 80, 80, 80, 80, 80]",28,86.53571428571429
SNES,Flower,https://www.mobygames.com/game/39287/flower/,"Sony Computer Entertainment Europe Ltd. Sony Computer Entertainment America LLC Annapurna Games, LLC","thatgamecompany, LLC","February 12, 2009 on PlayStation 3",Action,3rd-person (Other),,,,Motion control,[],0,0,"[100, 100, 100, 100, 100, 100, 100, 98, 95, 95, 95, 95, 94, 94, 92, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 88, 87, 87, 86, 85, 85, 85, 85, 85, 83, 80, 80, 80, 80, 80, 80, 80, 80, 78, 70, 70, 70, 70, 70, 65, 40, 38]",70,86.37142857142857
SNES,Super Mario Galaxy,https://www.mobygames.com/game/31282/super-mario-galaxy/,"Nintendo Co., Ltd.",Nintendo EAD,"November 1, 2007 on Wii",Action,Behind view,,,PlatformPuzzle elements,Direct controlMotion control,"[4.1, 4.9, 4.6, 4.3, 4.7, 3.7, 4.9, 3.4, 4.1, 2.0]",10,4.069999999999999,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99, 99, 99, 99, 99, 99, 99, 99, 99, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 97, 97, 97, 97, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 94, 94, 93, 93, 93, 92, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 86, 85, 80, 80, 80, 62]",150,96.06
SNES,Mortal Kombat 11: Ultimate,https://www.mobygames.com/game/153717/mortal-kombat-11-ultimate/,Warner Bros. Interactive Entertainment Inc.,,"November 17, 2020 on Windows",Compilation,,,,,,[],0,0,"[100, 95, 95, 94, 90, 90, 90, 90, 90, 89, 86, 85, 80, 80, 80, 80, 80, 55]",18,86.05555555555556
